player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
PruiMy00,MyCole Pruitt,TE,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,18,14,145,3,111,0,0,59,0
GrifNa00,Nakia Griffin-Stewart,TE,KAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoweNi00,Nick Bowers,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoylNi00,Nick Boyle,TE,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,2,0,2,0,0,0,1
VannNi00,Nick Vannett,TE,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,9,133,1,90,0,0,92,3
FantNo00,Noah Fant,TE,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,90,68,670,4,278,0,0,309,2
GrayNo00,Noah Gray,TE,KAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,7,36,1,31,0,0,18,1
TogiNo00,Noah Togiai,TE,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HowaO.00,O.J. Howard,TE,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21,14,135,1,88,0,0,83,0
HessPa00,Parker Hesse,TE,ATL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,5,43,0,29,0,0,21,0
FreiPa00,Pat Freiermuth,TE,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,79,60,497,7,219,1,0,247,2
QuesPa00,Paul Quessenberry,TE,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrowPh01,Pharaoh Brown,TE,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34,23,171,0,98,1,0,106,1
RodgRi00,Richard Rodgers,TE,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,11,0,9,0,0,10,0
SealRi00,Ricky Seals-Jones,TE,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,49,30,271,2,155,0,0,157,4
GronRo00,Rob Gronkowski,TE,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,89,55,802,6,286,0,0,350,5
TonyRo00,Robert Tonyan,TE,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,29,18,204,2,111,0,0,110,0
DwelRo00,Ross Dwelley,TE,SFO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,51,1,39,0,0,5,0
TravRo00,Ross Travis,TE,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrifRy00,Ryan Griffin,TE,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,42,27,261,2,184,0,0,149,3
IzzoRy00,Ryan Izzo,TE,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReyeSa00,Sammis Reyes,TE,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKeSe01,Sean McKeon,TE,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,4,27,1,24,0,0,10,0
ZylsSh00,Shane Zylstra,TE,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,3,34,0,30,0,0,6,0
AndeSt01,Stephen Anderson,TE,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,19,16,165,1,135,0,0,115,0
SullSt00,Stephen Sullivan,TE,CAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1
HockTJ00,T.J. Hockenson,TE,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,84,61,583,4,222,0,0,199,1
HudsTa00,Tanner Hudson,TE,SFO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HemiTe00,Temarrick Hemingway,TE,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
HudsTo00,Tommy Hudson,TE,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,3,31,0,31,0,0,24,0
SweeTo00,Tommy Sweeney,TE,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,12,9,44,1,23,0,0,14,1
TremTo00,Tommy Tremble,TE,CAR,0,0,0,0,0,0,0,0,0.0,3,11,1,7,35,20,180,1,133,0,2,70,2
PoljTo00,Tony Poljan,TE,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartTo01,Tory Carter,TE,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
KelcTr00,Travis Kelce,TE,KAN,0,0,0,0,0,0,0,0,0.0,2,3,1,4,134,92,1125,9,377,1,0,564,10
McKiTr00,Tre' McKitty,TE,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,6,45,0,31,0,0,34,0
